:TYPE	id:int	person_id:START_ID(person_id)	organisation_id:END_ID(organisation_id)	art:string	funktion_im_gremium:string	hauptberuflich:int	beschreibung:string	beschreibung_fr:string	quelle_url:string	quelle_url_gueltig:int	quelle:string	von:date	bis:date	freigabe_datum:localdatetime
HAT_MANDAT	38	32	26	"geschaeftsfuehrend"	"mitglied"	"0"	"Generalsekretär"	"Secrétaire général"	"http://www.freieberufe.ch/de/verband/vorstand/?oid=1801&lang=de"					2016-03-18T11:03:50
HAT_MANDAT	46	4	391	"taetig"		1	"Leiter Public Affairs"	"Chef Public Affairs"	"https://www.hirslanden.ch/de/corporate/hirslanden-gruppe/unternehmensprofil/gesundheitspolitik.html"					2016-04-23T09:51:58
HAT_MANDAT	47	4	282	"vorstand"	"vizepraesident"	"0"			"http://www.privatehospitals.ch/organisation/"					2016-04-23T09:51:58
HAT_MANDAT	48	4	261	"mitglied"		"0"			"https://www.forumgesundheitschweiz.ch/mitglieder.html"					2016-04-23T09:51:58
HAT_MANDAT	49	4	6071	"taetig"		"0"	"Mitglied Grosser Rat"	"Membre du Grand Conseil"				2008-04-06		2016-04-23T09:51:58
HAT_MANDAT	132	60	179	"geschaeftsfuehrend"	"mitglied"	"0"			"http://www.pro-velo.ch/pro-velo/geschaeftsstelle/team/"					2017-03-06T21:00:15
HAT_MANDAT	166	318	596	"geschaeftsfuehrend"		"0"	"Geschäftsführer"	"Directeur"	"https://spitexprivee.swiss/fr/association-des-organisations-spitex-privees-suisse/comite-et-direction.html"					2020-05-07T12:53:53
HAT_MANDAT	167	318	577	"geschaeftsfuehrend"		"0"	"Geschäftsführer"	"Secrétaire gérant"	"https://www.parlament.ch/centers/documents/de/parlamentarische-gruppen.pdf"					2020-05-07T12:53:53
HAT_MANDAT	175	406	557	"geschaeftsfuehrend"	"mitglied"	"0"	"Leiter Unternehmenskommunikation"		"https://www.swisscom.ch/de/about/ghq-hidden-pages/portrait/stefan-nuenlist.html"			2013-07-17		2019-07-21T12:48:45
HAT_MANDAT	176	406	619	"vorstand"	"mitglied"	"0"							2016-04-14	2019-07-21T12:48:45
HAT_MANDAT	184	22	292	"geschaeftsfuehrend"	"mitglied"	"0"							2017-11-30	2018-11-16T15:48:22
HAT_MANDAT	185	22	653	"vorstand"	"mitglied"	"0"			"https://zh.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-105.885.944"			2009-02-12		2018-11-16T15:48:22
HAT_MANDAT	186	22	212	"vorstand"	"mitglied"	"0"			"https://ag.chregister.ch/cr-portal/auszug/auszug.xhtml;jsessionid=34d3df015bf0fab1a9a8c10c2011?loeschung=20180926&uid=CHE-114.567.377"				2018-09-26	2018-11-16T15:48:22
HAT_MANDAT	187	22	654	"vorstand"	"mitglied"	"0"			"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-106.270.366"			2008-09-22		2018-11-16T15:48:22
HAT_MANDAT	188	22	655	"vorstand"	"praesident"	"0"			"https://zh.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-109.732.535"			2012-08-03		2018-11-16T15:48:22
HAT_MANDAT	189	22	656	"mitglied"		"0"							2018-10-05	2018-11-16T15:48:22
