:TYPE	id:int	parlamentarier_id:START_ID(parlamentarier_id)	organisation_id:END_ID(organisation_id)	art:string	funktion_im_gremium:string	deklarationstyp:string	status:string	hauptberuflich:int	behoerden_vertreter:string	beschreibung:string	beschreibung_fr:string	quelle_url:string	quelle_url_gueltig:int	quelle:string	von:date	bis:date	updated_by_import:localdatetime	freigabe_datum:localdatetime
HAT_INTERESSENBINDUNG_MIT	16	4	16	"vorstand"	"vizepraesident"	"deklarationspflichtig"	"deklariert"	"0"				"http://www.amca.ch/chi-siamo/#organigramma-e-statuti"						2020-06-15T10:55:11
HAT_INTERESSENBINDUNG_MIT	18	4	17	"vorstand"	"mitglied"	"deklarationspflichtig"	"deklariert"	"0"				"http://www.asi-infoalloggio.ch/comitato/"						2020-06-15T10:55:11
HAT_INTERESSENBINDUNG_MIT	32	6	31	"vorstand"	"mitglied"	"deklarationspflichtig"	"deklariert"	"0"	"N"			"https://bl.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-113.164.002"			2006-09-12			2020-03-29T08:43:13
HAT_INTERESSENBINDUNG_MIT	33	6	32	"vorstand"	"vizepraesident"	"deklarationspflichtig"	"deklariert"	"0"	"N"			"https://bl.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-102.638.220"			2012-08-29			2020-03-29T08:43:13
HAT_INTERESSENBINDUNG_MIT	34	6	51	"vorstand"	"vizepraesident"	"deklarationspflichtig"	"deklariert"	"0"	"N"			"https://bl.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-105.966.413"			2016-01-21			2020-03-29T08:43:13
HAT_INTERESSENBINDUNG_MIT	35	6	52	"vorstand"	"vizepraesident"	"deklarationspflichtig"	"deklariert"	"0"	"N"			"https://bl.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-108.751.694"			2015-05-22			2020-03-29T08:43:13
HAT_INTERESSENBINDUNG_MIT	73	11	90	"beirat"	"mitglied"	"deklarationspflichtig"	"deklariert"	"0"		"Beirat"	"Conseiller"	"https://www.gewa.ch/ueber-uns/unternehmen/beirat/"						2020-03-08T10:25:42
HAT_INTERESSENBINDUNG_MIT	74	11	91	"vorstand"	"mitglied"	"deklarationspflichtig"	"deklariert"	"0"				"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-115.177.955"						2020-03-08T10:25:42
HAT_INTERESSENBINDUNG_MIT	75	11	92	"vorstand"	"praesident"	"deklarationspflichtig"	"deklariert"	"0"				"https://www.bernerjagd.ch/fileadmin/user_upload/Downloads/Verband/2017/Adressliste_Vorstand_BEJV_2017_ab_29.4.2017.pdf"						2020-03-08T10:25:42
HAT_INTERESSENBINDUNG_MIT	79	12	96	"vorstand"	"mitglied"	"deklarationspflichtig"	"deklariert"	"0"	"N"			"https://ag.chregister.ch/cr-portal/auszug/auszug.xhtml?uid=CHE-109.380.850"						2020-03-08T10:50:44
HAT_INTERESSENBINDUNG_MIT	82	12	98	"vorstand"	"mitglied"	"deklarationspflichtig"	"deklariert"	"0"	"N"			"https://be.chregister.ch/cr-portal/auszug/auszug.xhtml;jsessionid=b3ac402752cb24aab5e992d50236?uid=CHE-110.379.871"						2020-03-08T10:50:44
HAT_INTERESSENBINDUNG_MIT	89	14	105	"vorstand"	"mitglied"	"deklarationspflichtig"	"nicht-deklariert"	"0"				"https://tg.chregister.ch/cr-portal/auszug/auszug.xhtml;jsessionid=313aad9c6fec1057b915c059d998?uid=CHE-395.556.421"						2020-03-26T08:34:35
HAT_INTERESSENBINDUNG_MIT	127	21	143	"vorstand"	"mitglied"	"deklarationspflichtig"	"deklariert"	"0"	"N"			"http://bl.powernet.ch/webservices/inet/HRG/HRG.asmx/getHRGHTML?chnr=2803910209&amt=280&toBeModified=0&validOnly=0&lang=1&sort=0"			2009-02-21			2020-03-07T11:01:49
