:LABEL	anzeige_name:string	anzeige_name_de:string	anzeige_name_fr:string	anzeige_name_mixed:string	abkuerzung_mixed:string	id:ID(partei_id)	abkuerzung:string	abkuerzung_fr:string	name:string	name_fr:string	fraktion_id:int	gruendung:date	position:string	farbcode:string	homepage:string	homepage_fr:string	email_fr:string	twitter_name:string	twitter_name_fr:string	beschreibung:string	beschreibung_fr:string	freigabe_datum:localdatetime	name_de:string	abkuerzung_de:string	beschreibung_de:string	homepage_de:string	twitter_name_de:string	email_de:string	freigabe_datum_unix:long
Partei	"Freisinnig-Demokratische Partei (FDP)"	"Freisinnig-Demokratische Partei (FDP)"	"PLR.Les Libéraux-Radicaux (PLR)"	"Freisinnig-Demokratische Partei (FDP) / PLR.Les Libéraux-Radicaux (PLR)"	"FDP / PLR"	1	"FDP"	"PLR"	"Freisinnig-Demokratische Partei"	"PLR.Les Libéraux-Radicaux"	1	1970-01-01	"mitte"	"#0A4BD6"	"http://www.fdp.ch"							2014-09-16T00:00:00	"Freisinnig-Demokratische Partei"	"FDP"		"http://www.fdp.ch"			1410818400
Partei	"Grünliberale Partei (GLP)"	"Grünliberale Partei (GLP)"	"Parti vert-libéral (PVL)"	"Grünliberale Partei (GLP) / Parti vert-libéral (PVL)"	"GLP / PVL"	2	"GLP"	"PVL"	"Grünliberale Partei"	"Parti vert-libéral"	2	2007-07-19	"mitte"	"#88487F"	"http://www.grunliberale.ch"							2014-09-16T00:00:00	"Grünliberale Partei"	"GLP"		"http://www.grunliberale.ch"			1410818400
Partei	"Sozialdemokratische Partei (SP)"	"Sozialdemokratische Partei (SP)"	"Parti socialiste (PSS)"	"Sozialdemokratische Partei (SP) / Parti socialiste (PSS)"	"SP / PSS"	3	"SP"	"PSS"	"Sozialdemokratische Partei"	"Parti socialiste"	3	1970-01-01	"links"	"#FF0505"	"http://www.sp-ps.ch"							2014-09-16T00:00:00	"Sozialdemokratische Partei"	"SP"		"http://www.sp-ps.ch"			1410818400
Partei	"Grüne Partei der Schweiz (GPS)"	"Grüne Partei der Schweiz (GPS)"	"Les Verts (PES)"	"Grüne Partei der Schweiz (GPS) / Les Verts (PES)"	"GPS / PES"	4	"GPS"	"PES"	"Grüne Partei der Schweiz"	"Les Verts"	4	1983-01-06	"links"	"#07F61E"	"http://www.gruene.ch"							2014-09-16T00:00:00	"Grüne Partei der Schweiz"	"GPS"		"http://www.gruene.ch"			1410818400
Partei	"Schweizerische Volkspartei (SVP)"	"Schweizerische Volkspartei (SVP)"	"Union Démocratique du Centre (UDC)"	"Schweizerische Volkspartei (SVP) / Union Démocratique du Centre (UDC)"	"SVP / UDC"	5	"SVP"	"UDC"	"Schweizerische Volkspartei"	"Union Démocratique du Centre"	5	1936-01-01	"rechts"	"#0A7D3A"	"http://www.svp.ch"							2014-09-16T00:00:00	"Schweizerische Volkspartei"	"SVP"		"http://www.svp.ch"			1410818400
Partei	"Evangelische Volkspartei (EVP)"	"Evangelische Volkspartei (EVP)"		"Evangelische Volkspartei (EVP)"	"EVP / PEV"	6	"EVP"	"PEV"	"Evangelische Volkspartei"		6	1919-01-01	"mitte"	"#FB7407"	"http://www.evppev.ch"							2014-09-16T00:00:00	"Evangelische Volkspartei"	"EVP"		"http://www.evppev.ch"			1410818400
Partei	"Christlichdemokratische Volkspartei (CVP)"	"Christlichdemokratische Volkspartei (CVP)"		"Christlichdemokratische Volkspartei (CVP)"	"CVP / PDC"	7	"CVP"	"PDC"	"Christlichdemokratische Volkspartei"		6	1912-01-02	"mitte"	"#FB7407"	"http://www.cvp.ch"							2014-09-16T00:00:00	"Christlichdemokratische Volkspartei"	"CVP"		"http://www.cvp.ch"			1410818400
Partei	"Bürgerlich-Demokratische Partei (BDP)"	"Bürgerlich-Demokratische Partei (BDP)"		"Bürgerlich-Demokratische Partei (BDP)"	"BDP / PBD"	8	"BDP"	"PBD"	"Bürgerlich-Demokratische Partei"		7	2008-01-01	"mitte"	"#FFE543"	"http://www.bdp.info"							2014-09-16T00:00:00	"Bürgerlich-Demokratische Partei"	"BDP"		"http://www.bdp.info"		"mail@bdp.info"	1410818400
Partei	"Mouvement Citoyens Romands (MCG)"	"Mouvement Citoyens Romands (MCG)"		"Mouvement Citoyens Romands (MCG)"	"MCG"	9	"MCG"		"Mouvement Citoyens Romands"		5		"rechts"	"#0A7D3A"								2014-09-16T00:00:00	"Mouvement Citoyens Romands"	"MCG"					1410818400
Partei	"Lega dei Ticinesi (Lega)"	"Lega dei Ticinesi (Lega)"		"Lega dei Ticinesi (Lega)"	"Lega"	10	"Lega"		"Lega dei Ticinesi"		5		"rechts"	"#0A7D3A"	"http://www.lega-dei-ticinesi.ch/"							2014-09-16T00:00:00	"Lega dei Ticinesi"	"Lega"		"http://www.lega-dei-ticinesi.ch/"			1410818400
